city,crit_read_mean,writing_mean,math_mean
"erie, pennsylvania",557,551,553
"erie, pennsylvania",428,406,425
"philadelphia, pennsylvania",355,355,373
"everett, pennsylvania",478,450,479
"reading, pennsylvania",497,479,506
"fairfield, pennsylvania",488,463,502
"fairview, pennsylvania",524,508,533
"willow hill, pennsylvania",513,463,497
"farrell, pennsylvania",401,375,396
"johnstown, pennsylvania",463,420,455
"fleetwood, pennsylvania",501,478,492
"waterfall, pennsylvania",478,454,471
"tionesta, pennsylvania",426,406,414
"forest city, pennsylvania",515,479,545
"sidman, pennsylvania",516,482,504
"mc donald, pennsylvania",490,445,466
"waterford, pennsylvania",490,468,484
"pittsburgh, pennsylvania",569,562,576
"franklin, pennsylvania",481,469,474
"murrysville, pennsylvania",545,527,549
"philadelphia, pennsylvania",439,429,461
"perryopolis, pennsylvania",485,440,479
"freedom, pennsylvania",482,460,495
"sarver, pennsylvania",502,496,502
"philadelphia, pennsylvania",389,403,432
"galeton, pennsylvania",476,441,522
"glen mills, pennsylvania",549,539,567
"monroeville, pennsylvania",514,487,509
"edinboro, pennsylvania",513,483,522
"gettysburg, pennsylvania",512,481,525
"girard, pennsylvania",495,469,505
"flinton, pennsylvania",466,436,454
"shillington, pennsylvania",509,474,505
"malvern, pennsylvania",566,552,564
"johnstown, pennsylvania",426,400,443
"johnstown, pennsylvania",426,400,443
"latrobe, pennsylvania",526,501,542
"nanticoke, pennsylvania",487,459,479
"greencastle, pennsylvania",505,485,520
"greensburg, pennsylvania",497,468,517
"greenville, pennsylvania",510,480,527
"millerstown, pennsylvania",483,454,464
"grove city, pennsylvania",416,388,420
"grove city, pennsylvania",525,485,532
"halifax, pennsylvania",507,492,503
"hamburg, pennsylvania",479,447,495
"allison park, pennsylvania",558,533,563
"hanover township, pennsylvania",498,499,488
"hanover, pennsylvania",475,456,481
"harborcreek, pennsylvania",486,459,495
"harrisburg, pennsylvania",418,399,428
"horsham, pennsylvania",519,512,547
"havertown, pennsylvania",523,505,551
"hazle twp, pennsylvania",452,436,451
"greensburg, pennsylvania",504,496,519
"landisville, pennsylvania",535,505,556
"hermitage, pennsylvania",506,488,519
"natrona heights, pennsylvania",459,433,471
