city,crit_read_mean,writing_mean,math_mean
"millbury, massachusetts",480,459,492
"millis, massachusetts",516,496,503
"milton, massachusetts",530,524,555
"lexington, massachusetts",480,448,470
"shelburne falls, massachusetts",545,510,546
"harwich, massachusetts",546,524,532
"monson, massachusetts",497,480,500
"fitchburg, massachusetts",473,440,470
"williamstown, massachusetts",593,577,585
"malden, massachusetts",538,525,562
"nantucket, massachusetts",524,511,490
"baldwinville, massachusetts",502,487,510
"bolton, massachusetts",552,539,563
"westford, massachusetts",469,426,469
"natick, massachusetts",555,538,565
"north eastham, massachusetts",526,515,530
"needham, massachusetts",575,571,584
"new bedford, massachusetts",449,421,449
"newburyport, massachusetts",549,544,563
"newtonville, massachusetts",580,572,598
"newton centre, massachusetts",596,599,620
"walpole, massachusetts",504,485,507
"north adams, massachusetts",472,468,477
"north andover, massachusetts",523,517,530
"north attleborough, massachusetts",530,508,537
"north brookfield, massachusetts",501,480,466
"townsend, massachusetts",520,498,535
"north reading, massachusetts",551,541,554
"northampton, massachusetts",585,556,576
"northborough, massachusetts",551,552,566
"whitinsville, massachusetts",498,470,490
"wakefield, massachusetts",439,423,444
"north adams, massachusetts",480,440,480
"norton, massachusetts",520,502,513
"norwell, massachusetts",555,547,555
"norwood, massachusetts",505,513,523
"rochester, massachusetts",454,423,471
"mattapoisett, massachusetts",536,531,546
"oxford, massachusetts",498,488,525
"palmer, massachusetts",503,493,504
"palmer, massachusetts",456,418,432
"chicopee, massachusetts",413,410,410
"peabody, massachusetts",497,476,508
"pembroke, massachusetts",505,500,522
"west newbury, massachusetts",524,528,532
"everett, massachusetts",484,467,555
"northfield, massachusetts",520,504,500
"south hadley, massachusetts",569,544,517
"pittsfield, massachusetts",508,484,497
"pittsfield, massachusetts",499,474,500
"plymouth, massachusetts",474,467,492
"plymouth, massachusetts",472,450,491
"cambridge, massachusetts",455,437,467
"barre, massachusetts",512,476,521
"warren, massachusetts",520,485,503
"quincy, massachusetts",461,453,518
"quincy, massachusetts",486,471,502
"orange, massachusetts",508,482,516
"randolph, massachusetts",437,427,460
"reading, massachusetts",542,524,557
"revere, massachusetts",430,426,460
"plymouth, massachusetts",542,537,529
"rockland, massachusetts",481,467,501
"rockport, massachusetts",532,500,529
"springfield, massachusetts",478,453,486
"salem, massachusetts",490,460,487
"salem, massachusetts",484,480,495
"east sandwich, massachusetts",520,508,530
"saugus, massachusetts",490,484,500
"scituate, massachusetts",544,543,551
"seekonk, massachusetts",523,524,532
"sharon, massachusetts",574,578,600
"billerica, massachusetts",479,448,480
"shrewsbury, massachusetts",543,543,579
"kingston, massachusetts",520,509,539
"fitchburg, massachusetts",533,492,507
"somerset, massachusetts",515,502,541
"somerville, massachusetts",462,458,486
"south hadley, massachusetts",492,486,533
"framingham, massachusetts",427,402,428
"norwell, massachusetts",518,489,489
"hanover, massachusetts",459,431,464
"south easton, massachusetts",426,406,425
"sheffield, massachusetts",514,500,501
"charlton, massachusetts",459,432,470
"southwick, massachusetts",518,498,522
"spencer, massachusetts",514,489,518
"springfield, massachusetts",353,338,356
"springfield, massachusetts",354,340,371
"springfield, massachusetts",403,386,410
"springfield, massachusetts",332,306,336
"springfield, massachusetts",433,428,433
"stoneham, massachusetts",497,498,490
"stoughton, massachusetts",512,502,518
"hyannis, massachusetts",585,563,562
"sutton, massachusetts",523,502,521
"swampscott, massachusetts",520,515,535
"swansea, massachusetts",521,495,539
"east walpole, massachusetts",514,491,472
"fiskdale, massachusetts",543,520,575
"fiskdale, massachusetts",493,451,519
"taunton, massachusetts",495,475,502
"tewksbury, massachusetts",495,489,512
"franklin, massachusetts",489,460,494
"byfield, massachusetts",523,518,550
"tyngsborough, massachusetts",493,469,517
"bourne, massachusetts",466,434,483
"uxbridge, massachusetts",511,498,523
"holden, massachusetts",538,524,554
"wakefield, massachusetts",524,521,537
"walpole, massachusetts",527,524,538
"waltham, massachusetts",473,471,500
