city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E,crit_read_mean,writing_mean,math_mean
"hanford, california",6337,8020,12510,4332,1877,174600.0,2899,72297.0,6625,811,152,451,442,457
"hanford, california",6337,8020,12510,4332,1877,174600.0,2899,72297.0,6625,811,152,465,459,465
"windsor, california",2387,3875,6464,3763,1602,407700.0,1154,94744.0,2120,199,9,522,503,502
"ontario, california",29970,27458,30521,10653,3480,268500.0,9203,67115.0,34067,3819,329,444,442,454
"ontario, california",29970,27458,30521,10653,3480,268500.0,9203,67115.0,34067,3819,329,457,451,470
"ontario, california",29970,27458,30521,10653,3480,268500.0,9203,67115.0,34067,3819,329,424,426,451
"yucca valley, california",2148,4453,6382,1067,729,131700.0,1225,45854.0,458,244,130,478,466,477
"hemet, california",11028,17540,19348,3956,2032,124800.0,5609,39969.0,7294,1433,661,437,428,439
"hemet, california",11028,17540,19348,3956,2032,124800.0,5609,39969.0,7294,1433,661,405,414,408
"hemet, california",11028,17540,19348,3956,2032,124800.0,5609,39969.0,7294,1433,661,429,425,436
"hemet, california",11028,17540,19348,3956,2032,124800.0,5609,39969.0,7294,1433,661,450,418,421
"perris, california",13766,10429,10510,2168,940,178900.0,5301,55557.0,14638,766,527,433,412,440
"perris, california",13766,10429,10510,2168,940,178900.0,5301,55557.0,14638,766,527,397,396,405
"perris, california",13766,10429,10510,2168,940,178900.0,5301,55557.0,14638,766,527,383,391,401
"waterford, california",1883,1134,1435,237,166,139200.0,887,67159.0,1635,80,22,546,524,546
"waterford, california",1883,1134,1435,237,166,139200.0,887,67159.0,1635,80,22,458,435,453
"san juan capistrano, california",3752,4860,7080,5482,2934,541400.0,1588,86610.0,5935,593,16,533,512,501
"san juan capistrano, california",3752,4860,7080,5482,2934,541400.0,1588,86610.0,5935,593,16,539,534,533
"el cajon, california",12749,18972,20913,8658,3733,345800.0,6682,78237.0,6385,12631,226,424,435,448
"el cajon, california",12749,18972,20913,8658,3733,345800.0,6682,78237.0,6385,12631,226,508,495,531
"el cajon, california",12749,18972,20913,8658,3733,345800.0,6682,78237.0,6385,12631,226,531,516,534
"el cajon, california",12749,18972,20913,8658,3733,345800.0,6682,78237.0,6385,12631,226,521,509,527
"el cajon, california",12749,18972,20913,8658,3733,345800.0,6682,78237.0,6385,12631,226,536,522,535
"atascadero, california",1510,4145,8408,4226,2101,383800.0,636,85388.0,837,191,30,529,514,511
"victorville, california",14850,19913,26163,4473,3040,143800.0,6531,58892.0,13085,1985,1507,495,485,473
"victorville, california",14850,19913,26163,4473,3040,143800.0,6531,58892.0,13085,1985,1507,442,422,400
"victorville, california",14850,19913,26163,4473,3040,143800.0,6531,58892.0,13085,1985,1507,430,418,427
"victorville, california",14850,19913,26163,4473,3040,143800.0,6531,58892.0,13085,1985,1507,491,492,500
"victorville, california",14850,19913,26163,4473,3040,143800.0,6531,58892.0,13085,1985,1507,437,415,422
"anaheim, california",53281,51454,61248,38932,15468,431400.0,16116,91238.0,62112,23721,313,440,445,454
"anaheim, california",53281,51454,61248,38932,15468,431400.0,16116,91238.0,62112,23721,313,428,423,446
"anaheim, california",53281,51454,61248,38932,15468,431400.0,16116,91238.0,62112,23721,313,442,434,458
"anaheim, california",53281,51454,61248,38932,15468,431400.0,16116,91238.0,62112,23721,313,431,435,448
"anaheim, california",53281,51454,61248,38932,15468,431400.0,16116,91238.0,62112,23721,313,447,442,454
"anaheim, california",53281,51454,61248,38932,15468,431400.0,16116,91238.0,62112,23721,313,465,450,500
"anaheim, california",53281,51454,61248,38932,15468,431400.0,16116,91238.0,62112,23721,313,550,543,558
"anaheim, california",53281,51454,61248,38932,15468,431400.0,16116,91238.0,62112,23721,313,520,515,540
"fullerton, california",12068,16702,26378,21875,12873,522500.0,6208,95033.0,13538,14764,115,496,486,507
"fullerton, california",12068,16702,26378,21875,12873,522500.0,6208,95033.0,13538,14764,115,541,550,590
"fullerton, california",12068,16702,26378,21875,12873,522500.0,6208,95033.0,13538,14764,115,619,624,662
"brea, california",2186,4144,9190,7764,4298,550100.0,1747,110186.0,1475,2454,38,532,533,558
"huntington beach, california",10821,23545,48571,37214,21517,642900.0,7792,105291.0,8333,7899,10,558,549,562
"huntington beach, california",10821,23545,48571,37214,21517,642900.0,7792,105291.0,8333,7899,10,540,535,550
"huntington beach, california",10821,23545,48571,37214,21517,642900.0,7792,105291.0,8333,7899,10,543,527,563
"huntington beach, california",10821,23545,48571,37214,21517,642900.0,7792,105291.0,8333,7899,10,474,461,468
"tustin, california",8483,8727,13826,13057,7279,514500.0,3294,96154.0,9311,5587,58,540,537,556
