School Name,School Code,Tests Taken,Reading,Writing,Math
East Bridgewater - East Bridgewater JR./SR. High School,00830505,     111,518,494,500
East Longmeadow - East Longmeadow High,00870505,     169,526,509,540
Easthampton - Easthampton High,00860505,      65,493,486,500
Easton - Oliver Ames High,00880505,     249,543,533,550
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers,04520505,      69,386,395,397
Essex North Shore Agricultural and Technical School District - Essex Technical High School,08170505,     147,488,461,471
Everett - Devens School,00930030,       1,,,
Everett - Everett High,00930505,     262,438,416,439
Fairhaven - Fairhaven High,00940505,     124,512,498,517
Fall River - B M C Durfee High,00950505,     219,495,471,477
Fall River - Fall River Gateway to College @ BCC,00950515,       1,,,
Fall River - Resiliency Preparatory School,00950325,       4,,,
Falmouth - Falmouth High,00960505,     149,518,516,540
Fitchburg - Fitchburg High,00970505,     243,395,373,414
Fitchburg - Goodrich Academy,00970510,       3,,,
Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,      25,568,548,535
Foxborough - Foxborough High,00990505,     194,520,514,534
Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,      61,508,494,498
Framingham - Framingham High School,01000515,     358,529,514,562
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,      47,582,545,538
Franklin - Franklin High,01010505,     382,542,532,556
Franklin County Regional Vocational Technical - Franklin County Technical,08180605,       7,,,
Freetown-Lakeville - Apponequet Regional High,06650505,     151,523,505,518
Frontier - Frontier Regional,06700505,      77,540,512,522
Gardner - Gardner Academy for Learning and Technology,01030515,       2,,,
Gardner - Gardner High,01030505,     115,451,424,463
Gateway - Gateway Regional High,06720505,      27,553,536,521
Georgetown - Georgetown High School,01050505,      83,549,540,534
Gill-Montague - Turners Fall High,06740505,      26,494,471,506
Global Learning Charter Public (District) - Global Learning Charter Public School,04960305,      18,449,436,468
Gloucester - Gloucester High,01070505,     134,496,475,509
Grafton - Grafton High School,01100505,     167,533,523,553
Granby - Granby Jr Sr High School,01110505,      36,506,495,516
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,     129,449,424,454
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,08230605,     168,379,373,406
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,     184,436,420,447
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,     296,451,420,447
Greenfield - Greenfield High,01140505,      37,496,481,499
Groton-Dunstable - Groton Dunstable Regional,06730505,     195,558,538,584
Hadley - Hopkins Academy,01170505,      42,545,524,556
Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,     155,571,559,559
Hampden Charter School of Science (District) - Hampden Charter School of Science,04990305,      36,470,470,520
Hampden-Wilbraham - Minnechaug Regional High,06800505,     240,518,510,534
Hampshire - Hampshire Regional High,06830505,      90,525,497,533
Hanover - Hanover High,01220505,     187,505,495,520
Harvard - Bromfield,01250505,      95,594,583,589
Hatfield - Smith Academy,01270505,      21,568,535,550
Haverhill - Haverhill Alternative School,01280033,       1,,,
Haverhill - Haverhill High,01280505,     231,513,495,512
Hingham - Hingham High,01310505,     249,555,563,569
Holbrook - Holbrook Jr Sr High,01330505,      49,458,450,473
Holliston - Holliston High,01360505,     197,561,549,581
Holyoke - Holyoke High,01370505,      92,480,454,482
Holyoke - Wm J Dean Vocational Technical High,01370605,      19,350,349,384
Hopedale - Hopedale Jr Sr High,01380505,      68,524,518,535
Hopkinton - Hopkinton High,01390505,     278,552,544,580
Hudson - Hudson High,01410505,     153,506,503,512
Hull - Hull High,01420505,      66,507,502,513
Innovation Academy Charter (District) - Innovation Academy Charter School,04350305,      70,543,521,526
Ipswich - Ipswich High,01440505,     110,528,520,514
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,04290010,       3,,,
King Philip - King Philip Regional High,06900505,     332,551,535,544
Lawrence - Business Management & Finance High School,01490530,      55,387,376,415
Lawrence - Health & Human Services High School,01490531,      68,375,377,403
Lawrence - Humanities & Leadership Development High School,01490532,      82,385,389,403
Lawrence - International High School,01490534,       1,,,
"Lawrence - Math, Science & Technology High School",01490533,      64,419,400,446
Lawrence - Performing & Fine Arts High School,01490535,      60,387,379,400
Lawrence - Phoenix Academy Lawrence,01490540,      10,349,351,364
Lee - Lee Middle/High School,01500505,      32,532,519,508
Leicester - Leicester High,01510505,      87,524,513,529
Lenox - Lenox Memorial High,01520505,      37,598,592,599
Leominster - Center For Technical Education Innovation,01530605,      14,569,511,555
Leominster - Leominster Center for Excellence,01530515,       1,,,
Leominster - Leominster High School,01530505,     226,487,464,501
