city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E
"penbrook, pennsylvania",208,794,561,308,117,115900.0,105,59402.0,53,211,103
"johnstown, pennsylvania",2158,7029,3453,947,551,43100.0,1300,36821.0,47,54,385
"bristol, pennsylvania",782,3380,1616,471,399,182900.0,328,65156.0,288,26,62
"monessen, pennsylvania",569,2551,1633,638,287,75800.0,318,42905.0,11,49,95
"wilmerding, pennsylvania",164,607,319,90,39,49200.0,155,36250.0,6,6,34
"sunbury, pennsylvania",1451,3240,1389,401,177,77700.0,452,46698.0,138,54,21
"plymouth, pennsylvania",446,1925,1155,373,144,77700.0,202,43690.0,15,53,21
"clover creek, washington",404,1684,1805,466,321,234900.0,268,73333.0,159,489,43
"eastmont, washington",1006,2990,5487,3709,1211,309600.0,719,98626.0,296,1507,15
"fairwood, washington",781,2281,4852,4189,1820,332300.0,516,110271.0,575,1129,20
"white center, washington",2172,2761,3155,1236,533,238000.0,652,64390.0,1347,2067,174
"lakeland north, washington",678,2351,3519,1582,516,256400.0,436,75066.0,307,851,6
"tukwila, washington",2243,4019,3949,2024,750,241000.0,903,74808.0,880,3888,180
"port angeles, washington",1135,4028,5585,1565,1255,189800.0,993,58961.0,47,218,41
"centralia, washington",2072,3155,4211,930,589,149500.0,1021,47286.0,1100,34,8
"millwood, washington",89,341,539,129,86,158500.0,34,57708.0,2,17,5
"lynnwood, washington",2980,6242,9098,5354,1902,280000.0,1156,73727.0,1188,4839,25
"greensburg, pennsylvania",684,3349,2726,2145,1100,126100.0,522,61289.0,25,85,17
"east lansdowne, pennsylvania",166,742,517,290,146,138000.0,50,73900.0,31,129,17
"telford, pennsylvania",464,1177,946,638,221,216600.0,200,85750.0,129,161,57
"catasauqua, pennsylvania",454,1846,1346,542,321,146800.0,305,64931.0,114,330,36
"brookhaven, pennsylvania",581,2040,1619,1059,773,196700.0,410,69635.0,40,87,19
"arnold, pennsylvania",419,1668,1181,191,77,57700.0,200,43714.0,22,69,131
"parkside, pennsylvania",100,648,432,216,142,138500.0,134,68125.0,6,26,50
"upland, pennsylvania",500,889,343,179,39,97500.0,108,50089.0,4,9,109
"willow grove, pennsylvania",644,3263,2908,2565,1449,244500.0,571,87684.0,72,627,45
"north york, pennsylvania",173,584,268,105,25,94900.0,72,56625.0,53,5,3
"chester, pennsylvania",4148,9207,4801,1491,578,67900.0,2815,42461.0,1056,263,1563
"lansdale, pennsylvania",1003,3399,3144,2478,1230,221200.0,577,76386.0,295,725,75
"clairton, pennsylvania",389,2200,1532,479,161,46600.0,515,37472.0,4,6,157
"duquesne, pennsylvania",383,1617,902,280,143,38600.0,532,37694.0,6,43,286
"west mifflin, pennsylvania",958,5890,4883,2306,719,90600.0,897,57488.0,35,44,103
"saw creek, pennsylvania",387,660,792,230,281,141300.0,283,63654.0,143,47,22
"marietta, pennsylvania",246,934,414,222,56,123400.0,124,60682.0,3,6,9
"kingston, pennsylvania",746,3171,3054,1836,1223,125900.0,362,65493.0,182,244,68
"dauphin, pennsylvania",29,248,223,98,53,149000.0,45,67031.0,6,6,2
"paxtonia, pennsylvania",226,883,1100,943,448,160800.0,42,86699.0,26,122,84
"kittanning, pennsylvania",483,1232,730,339,140,67500.0,200,43750.0,28,27,12
"fullerton, pennsylvania",1254,3563,3269,1592,1096,171800.0,604,63996.0,765,1197,23
"emporium, pennsylvania",160,689,393,152,58,66100.0,39,51310.0,6,6,2
"lincoln, california",2258,6249,12935,7080,3618,347200.0,1413,77569.0,1928,1488,13
"rialto, california",18809,16658,16558,4012,1626,208100.0,7200,60079.0,19431,1410,578
"carmichael, california",2973,9344,17891,8956,6094,289900.0,4002,84928.0,910,2803,233
"florin, california",9143,9203,9951,2832,818,150800.0,3630,51777.0,4588,8397,458
"vineyard, california",1966,3138,6354,3507,1419,297800.0,1091,88718.0,790,3452,73
"hollister, california",5962,5670,6989,2378,762,320400.0,2117,85063.0,6954,490,5
"artesia, california",2656,2742,3067,2171,884,395200.0,505,71429.0,2206,3285,13
"azusa, california",6049,7946,7786,3620,1698,325700.0,2069,73313.0,8433,1522,48
"baldwin park, california",17786,15077,9331,4191,1173,311600.0,4247,64138.0,19516,7032,30
"cerritos, california",2973,5238,10322,11080,6155,605400.0,1547,99560.0,1286,10259,51
"inglewood, california",19641,14715,24126,8729,4282,335000.0,7903,68308.0,22485,1347,1433
"lennox, california",6380,3000,2288,628,159,331300.0,1145,59682.0,8348,221,119
"colusa, california",975,625,1411,460,134,188400.0,253,63590.0,1044,19,14
"chowchilla, california",4266,3995,4040,840,310,146600.0,320,45045.0,1934,376,51
"cathedral, california",8418,9791,10159,3582,2108,186100.0,2573,49387.0,10870,698,86
"tulare, california",9845,10230,10635,3093,1038,156500.0,2570,62124.0,11110,1494,164
"denair, california",874,843,827,389,114,165400.0,245,70991.0,512,45,34
"oakdale, california",1862,3922,5490,1360,718,221600.0,1327,75888.0,1468,110,31
"los angeles, california",641622,513485,624163,553583,282529,471000.0,210978,84975.0,744064,268191,16153
"stanton, california",7837,5336,7222,2853,1206,295900.0,1746,61420.0,7609,5297,7
"marin city, california",357,343,705,379,269,513700.0,233,76750.0,159,304,62
"mather, california",296,482,1055,719,316,268800.0,245,87716.0,101,368,4
"mayfair, california",941,642,737,87,81,104600.0,140,47500.0,808,218,25
"meadowbrook, california",571,568,632,151,62,115800.0,211,48830.0,361,91,10
"mead valley, california",4862,3029,2378,483,179,171700.0,1608,60045.0,4757,112,43
"montclair, california",6991,6914,6365,2540,573,264100.0,1506,61517.0,7391,1868,56
"twentynine palms, california",1223,3544,4650,2016,663,121700.0,1253,53201.0,270,322,244
"lompoc, california",6784,7410,9071,2243,1256,230500.0,2384,71166.0,7048,433,91
"foothill farms, california",3005,6395,8146,2223,814,162200.0,1771,55046.0,1682,2713,245
"north highlands, california",4637,8170,11996,2306,772,149400.0,2240,52624.0,3059,4082,424
"lakewood, california",6600,12294,20407,10747,4355,424200.0,3051,89789.0,4724,4785,65
"malibu, california",230,1222,2454,3176,2734,1937000.0,509,142486.0,61,211,7
"grand terrace, california",892,2157,2887,1249,1172,237300.0,651,73277.0,746,195,14
"hesperia, california",12233,17506,18807,3310,1822,158700.0,5724,55776.0,8399,899,527
"yucaipa, california",4705,9129,14004,4212,2464,221100.0,2778,66199.0,2331,795,32
"rosemont, california",1505,3373,6517,3051,983,191700.0,1570,71549.0,810,1841,134
"west modesto, california",1560,839,734,166,60,114000.0,763,43261.0,1416,224,21
"american canyon, california",1890,2369,4570,2709,1199,343200.0,907,86462.0,1679,1834,25
"sacramento, california",52338,65532,102394,59846,34472,238500.0,28688,73002.0,31383,40429,3653
"atwater, california",4592,4326,5556,1516,698,147500.0,1968,60801.0,4088,628,26
"oakland, california",56346,46986,72141,63049,49446,458500.0,22850,95465.0,41297,38480,5306
"orange cove, california",2871,1338,450,191,42,116300.0,736,45486.0,3798,63,10
"burbank, california",8588,13762,24395,20424,8607,586200.0,4945,96266.0,6728,10745,12
"east los angeles, california",39677,16818,13343,3621,952,306700.0,8363,55130.0,48856,586,28
"randolph, massachusetts",3102,6669,6672,4836,2391,266900.0,2494,82025.0,358,4509,395
"brockton, massachusetts",11650,21113,17570,7577,3262,221400.0,5395,70731.0,2885,13318,1826
"framingham, massachusetts",5328,11375,8996,13732,9046,345700.0,2380,99700.0,3790,6985,399
"raynham center, massachusetts",213,817,801,733,391,290200.0,93,89628.0,44,182,40
"taunton, massachusetts",7122,13818,11308,5057,2404,236600.0,2361,74975.0,756,3462,67
"northampton, massachusetts",1081,3267,3783,4701,6308,290800.0,1269,84950.0,371,418,8
"milton, massachusetts",542,2726,3300,5329,5359,499300.0,779,135211.0,56,737,34
"north plymouth, massachusetts",311,1118,732,274,185,296900.0,106,92269.0,11,391,22
"west rancho dominguez, california",4061,4184,4119,1216,402,251700.0,1281,60716.0,3704,157,404
"cudahy, california",7409,2876,2084,410,192,248000.0,1388,51094.0,10497,99,24
"florence-graham, california",20130,8021,4705,1209,317,255400.0,3339,48911.0,24629,124,410
"gardena, california",7585,11278,13188,7361,2312,354900.0,2949,61446.0,7648,5832,291
"hawthorne, california",14197,13298,16384,7646,2673,404900.0,4321,80333.0,16526,3313,1058
"patterson, california",3093,3868,3927,907,323,174800.0,1281,55357.0,2798,777,33
"riverbank, california",3491,4266,4471,1604,573,195300.0,1495,70733.0,3779,309,10
"rancho mirage, california",696,2878,5137,3756,3067,478500.0,516,83056.0,217,363,11
"lathrop, california",2718,3392,3808,1499,352,208300.0,1036,66289.0,2134,1589,51
"san mateo, california",8790,11546,19220,20220,13554,778500.0,3532,116561.0,10260,8640,18
"boron, california",291,536,493,116,30,55700.0,124,43580.0,105,21,57
"ladera heights, california",156,587,1854,1514,1441,789400.0,472,121075.0,105,51,52
"westmont, california",5779,5629,6217,1090,288,312200.0,2080,54968.0,5503,43,1404
"fair oaks, california",1319,3732,8129,6182,3767,366600.0,1729,97574.0,483,1168,32
"bakersfield, california",43363,54200,70590,29458,14857,199600.0,18326,76639.0,36954,9291,2141
"corona, california",15334,25092,32885,18402,8884,351900.0,7119,91654.0,12597,6887,261
"lemon hill, california",2921,2475,2031,433,61,103800.0,960,40670.0,2407,1119,280
"rio vista, california",508,1572,2620,1076,656,230500.0,429,64662.0,175,140,16
"vallejo, california",10298,20468,30797,15049,4963,231700.0,8477,76737.0,8423,7622,1647
"alum rock, california",2207,1995,1923,558,248,417200.0,620,76923.0,2316,917,28
"milpitas, california",6736,8419,13234,13808,7912,583400.0,3175,121493.0,2245,17062,29
"morgan hill, california",2950,4537,8777,6199,4033,625700.0,1773,115814.0,2648,1207,109
"tara hills, california",545,950,1259,326,177,297300.0,390,82176.0,554,310,81
"mill valley, california",219,542,1580,4082,3683,1157500.0,203,171955.0,179,169,8
"brentwood, california",3312,7191,14469,7748,2581,392600.0,1709,106819.0,2745,1396,122
"roseville, california",4639,15285,33187,21285,9830,332600.0,4385,95529.0,2591,4316,51
"east richmond heights, california",121,403,910,599,463,377000.0,75,70511.0,102,219,11
"colma, california",163,244,323,266,61,568000.0,58,107222.0,240,147,13
"blythe, california",4423,4282,4551,724,481,122200.0,880,58651.0,2532,136,128
"buttonwillow, california",378,245,164,10,7,119900.0,99,40606.0,544,19,24
"banning, california",4259,7081,6729,1938,1287,165700.0,1548,45170.0,2709,654,163
"brawley, california",4511,3649,5081,1538,438,143600.0,2089,56016.0,6087,118,25
"el centro, california",7875,5138,7914,3082,1749,154500.0,2925,67449.0,11868,412,107
"indio, california",13763,14340,15758,5480,3012,212300.0,5063,60612.0,17697,912,78
"murrieta, california",5120,14662,26769,12309,6699,310100.0,5588,85807.0,3520,2922,225
"calexico, california",10160,3993,6056,2318,893,161400.0,3131,52654.0,19859,319,16
"delano, california",13899,8682,6079,1769,437,147700.0,3139,49214.0,16563,2727,91
"golden hills, california",443,1290,2311,785,425,206600.0,303,76216.0,298,25,9
"hercules, california",1148,2532,6128,5546,1765,395800.0,738,113252.0,662,2984,101
"oakley, california",3476,6731,9539,3081,866,279000.0,1875,95364.0,3011,933,67
"rodeo, california",744,2040,2163,1161,502,305400.0,599,88520.0,587,807,20
"fresno, california",74340,69019,96032,40894,18957,177500.0,32154,64312.0,52714,28383,3687
"west sacramento, california",5519,7846,10615,5198,2778,252800.0,2509,74746.0,4137,4383,134
"live oak, california",1576,1872,4206,2854,1632,544800.0,556,90794.0,2284,227,9
"oceanside, california",16482,25529,42761,20330,10403,360900.0,6894,75492.0,18705,4716,369
"morro bay, california",706,1514,2859,1857,1100,491600.0,372,75043.0,503,288,44
"la mirada, california",3615,7504,11449,5819,3751,425900.0,1737,87995.0,3189,3856,6
"la verne, california",1971,3669,8385,5012,3110,461800.0,1116,88086.0,836,1475,10
"lawndale, california",6269,5194,6186,2478,796,378500.0,1249,65779.0,8078,1503,85
"willowbrook, california",5487,2846,2042,390,85,223800.0,1444,53898.0,5840,51,239
"lancaster, california",17953,28384,35663,9415,5120,170600.0,6826,65130.0,13867,2362,2446
"rowland heights, california",5697,7592,10044,9993,3283,505400.0,1357,74417.0,4154,15383,8
"north richmond, california",701,634,699,183,72,242300.0,196,61991.0,875,218,108
"elk grove, california",9622,19660,35983,25789,10280,288400.0,7222,90196.0,3579,16876,710
"mountain view, california",3875,6217,9739,16402,20018,882300.0,2792,143669.0,4748,6955,34
"lake forest, california",4432,8610,17482,16294,7720,524400.0,2514,112425.0,5408,3434,23
"santa ana, california",88765,44590,40260,16409,6531,360800.0,13128,70552.0,113477,19115,52
"la presa, california",4385,5670,9070,2696,920,291900.0,2250,70250.0,4297,1441,181
"duarte, california",2682,3654,4119,2779,1796,374600.0,1049,83329.0,3016,1483,77
"fort bragg, california",698,1330,1737,670,280,290800.0,303,55455.0,1046,37,19
"oasis, california",2072,261,130,11,10,12000.0,541,29265.0,2942,3,3
"parkway, california",2581,2472,2829,643,227,156200.0,991,50993.0,2514,1369,195
"whittier, california",9358,13300,19768,8272,5280,437200.0,3223,94030.0,9560,1483,19
"cherryland, california",2523,3232,2676,1081,306,308800.0,878,72519.0,3476,786,81
"stockton, california",44860,44141,58372,21033,10073,172500.0,19589,66020.0,33260,24735,2678
"long beach, california",62714,56777,95715,57227,31548,431300.0,24920,84784.0,59185,22178,3052
"pasadena, california",12722,14009,23816,26624,24003,628000.0,6059,109496.0,14921,8323,401
"pomona, california",29280,22323,22656,11326,4506,281300.0,8323,66367.0,31450,6739,319
"west carson, california",2426,3587,4430,4155,1353,366300.0,976,72321.0,1993,2675,34
"napa, california",10170,10977,16844,10057,5256,441000.0,3107,88822.0,12807,852,13
"colton, california",8824,8033,8962,2299,1442,167300.0,3269,58073.0,8906,887,305
"loma linda, california",1627,2799,3985,4721,3656,278100.0,773,90791.0,813,2672,77
"mentone, california",692,1823,2362,845,655,224600.0,534,76458.0,292,232,20
"muscoy, california",3399,1503,998,219,45,168400.0,952,43349.0,2877,23,26
"madera, california",14254,7509,9272,2293,788,153800.0,1641,53750.0,15543,1069,205
"novato, california",2616,6215,12797,10549,6976,579700.0,1803,99518.0,3535,1695,17
"country club, california",1465,1689,2682,624,250,127500.0,821,50241.0,740,50,17
"chino, california",12355,13662,18145,7964,3223,348400.0,3693,85085.0,6736,3569,29
"san bernardino, california",38391,33561,34805,9467,4434,159800.0,14426,54055.0,35998,5408,2070
"hacienda heights, california",5522,8460,10955,9805,4157,489800.0,1729,85904.0,4672,10697,14
"lakeside, california",1165,4830,5629,1732,706,336200.0,1021,75018.0,839,210,54
"national, california",10254,10095,11876,3875,889,290500.0,2943,60013.0,12575,4534,129
"san marcos, california",10621,10572,18878,11791,5159,393500.0,2376,79972.0,14750,4155,18
"santa rosa, california",16844,23492,41257,23134,13124,386100.0,7056,79603.0,17337,4766,64
"irvine, california",5771,13017,33283,58652,44332,688200.0,7937,124275.0,2969,33115,133
"los alamitos, california",637,1459,2575,1787,1258,647900.0,461,106964.0,243,628,31
"newark, california",3829,9374,8884,5975,2952,492400.0,1497,100612.0,3287,4282,89
"merced, california",11577,10602,15528,4739,2954,158100.0,5688,62931.0,8875,3325,370
"tracy, california",8522,13281,17573,8971,2887,295600.0,4412,93139.0,7896,4800,106
"clearlake, california",2129,3349,3849,516,345,85100.0,1297,30227.0,1042,78,15
"arcata, california",694,1170,2547,2458,1713,319300.0,1710,53925.0,422,125,14
"view park-windsor hills, california",398,797,3134,2151,2441,553100.0,674,106851.0,117,89,114
"west athens, california",1394,1541,1512,530,360,346600.0,669,60825.0,1778,105,138
"antelope, california",2513,8108,12022,4684,1373,224500.0,1960,75515.0,841,6421,156
"oroville, california",1606,2929,4254,691,306,158200.0,780,52165.0,231,648,7
"easton, california",339,302,397,165,56,153100.0,122,66750.0,278,12,6
"sonora, california",475,856,1258,578,342,272500.0,311,63750.0,74,166,70
"castro valley, california",3437,9918,14244,10593,5772,556400.0,2289,107897.0,2582,5331,90
"clovis, california",6960,13080,24157,11939,6529,247700.0,4514,84268.0,3051,4060,122
"chico, california",4027,8462,19627,12347,6120,263500.0,4466,71890.0,2066,1452,54
"east rancho dominguez, california",4192,2147,2135,271,109,255400.0,982,57875.0,5117,19,115
"alameda, california",4863,7065,15775,17543,10882,639700.0,3172,118554.0,1248,10301,221
"albany, california",458,745,2112,4355,5231,675000.0,611,115353.0,352,1985,8
"lynwood, california",18972,10576,8209,1788,627,289500.0,3752,60957.0,23862,285,302
"fairview, california",600,1518,2904,1725,1005,466400.0,515,105473.0,563,754,69
"san lorenzo, california",2980,4966,5126,2975,860,368600.0,1471,83030.0,2656,3132,58
"east hemet, california",2219,3795,4250,941,618,155300.0,1375,56131.0,1918,59,61
"weymouth, massachusetts",2700,12153,12507,9115,4139,320700.0,2535,86787.0,224,2066,23
"winthrop, massachusetts",704,3981,4124,3109,1585,357400.0,709,80704.0,226,893,26
"needham, massachusetts",409,2052,2562,6458,8523,684100.0,841,153618.0,71,1073,69
"quincy, massachusetts",7835,17798,15693,17993,10047,351800.0,4197,86944.0,494,16568,116
"cambridge, massachusetts",4113,6874,7120,20872,33639,581700.0,3278,118207.0,1556,6465,503
"pinehurst, massachusetts",398,1806,1554,926,425,356000.0,218,109536.0,8,134,10
"norwood, massachusetts",1162,5400,5191,5918,3253,383200.0,1009,98545.0,274,1433,9
"east falmouth, massachusetts",510,1158,1378,814,820,356700.0,308,72222.0,11,192,25
"middleborough center, massachusetts",430,1766,1493,972,388,251500.0,406,86715.0,10,77,11
"el sobrante, california",440,1109,3646,2244,2207,417000.0,1494,102605.0,303,864,68
"elverta, california",578,1430,1364,240,168,199500.0,223,62901.0,161,404,15
"fairmead, california",481,331,321,36,60,280800.0,55,80550.0,258,10,5
"el sobrante, california",868,2840,3392,1664,838,302500.0,706,74045.0,650,1250,40
"french valley, california",1551,3599,7122,2951,1414,325700.0,1130,95347.0,775,1045,18
"fruitridge pocket, california",1467,924,773,200,27,119300.0,445,40043.0,979,632,72
"yuba, california",9017,10252,15108,5000,2245,197100.0,4129,68283.0,5350,5577,79
"valle vista, california",1762,3248,3961,985,721,129700.0,899,45648.0,747,201,16
"bay point, california",4210,3480,3500,1486,325,165900.0,1804,61830.0,5403,832,273
"el cerrito, california",1143,2003,4338,5685,5380,608400.0,1150,106960.0,540,2721,54
"pinole, california",1511,2800,5345,2892,1459,359600.0,605,85000.0,800,1482,73
"port hueneme, california",2845,3660,4991,1654,830,297000.0,983,67101.0,2959,537,14
"livingston, california",3790,1500,1741,613,224,167400.0,897,60345.0,3559,1463,7
"east palo alto, california",5744,4213,4029,1853,942,417800.0,1609,80104.0,7929,956,89
"redwood, california",8625,9670,13586,13606,10465,859100.0,2364,120760.0,12652,2662,61
"san bruno, california",3340,6317,10348,7445,3411,615000.0,1618,97143.0,3198,3693,5
"martinez, california",1820,5140,10187,6887,3240,435500.0,1585,106262.0,880,1083,66
"pittsburg, california",8721,10611,15150,5936,2148,245600.0,4147,77419.0,9637,4694,556
"walnut creek, california",1382,5389,12620,18773,13277,609000.0,2133,98396.0,991,5336,16
"los banos, california",6966,5784,5988,1661,576,164400.0,2159,60286.0,8963,638,41
"daly, california",11037,15978,23248,20515,4718,580500.0,4797,91342.0,7817,22153,31
"concord, california",11402,20397,29467,19355,7873,389000.0,6173,89209.0,13673,6421,407
"discovery bay, california",358,2020,4431,2222,685,402300.0,491,111083.0,279,192,105
"san ramon, california",1256,4218,10773,19187,12563,754700.0,1856,160432.0,701,8489,47
"redding, california",5753,14808,26001,9605,5028,225700.0,3816,61410.0,1018,1650,34
"diamond springs, california",1167,2431,3578,1366,491,236100.0,747,62616.0,178,226,35
"sunnyvale, california",9116,12147,20303,31488,32393,790300.0,5640,129756.0,7908,19328,54
"cotati, california",499,849,1634,1183,501,410300.0,393,87667.0,281,158,5
"aliso viejo, california",1189,3649,9423,12803,6000,493300.0,1732,122108.0,943,2852,70
"goleta, california",2135,3666,5916,4597,3972,634100.0,957,97892.0,2807,822,28
"belmont, massachusetts",538,1598,2578,5150,7820,681000.0,614,151277.0,251,1751,6
"maynard, massachusetts",343,1944,1572,2098,1729,334000.0,329,112303.0,144,166,49
"newton, massachusetts",1495,5667,6352,16243,27925,739700.0,2083,157532.0,635,5916,134
"haverhill, massachusetts",5099,12247,13366,8041,4263,256900.0,2852,84153.0,3010,1053,20
"burlington, massachusetts",1114,4244,4346,4837,3793,424800.0,748,103986.0,197,1496,16
"webster, massachusetts",1743,3223,2070,1110,378,187000.0,820,70267.0,673,507,42
"everett, massachusetts",5933,11195,7350,3529,1400,317600.0,1952,69611.0,4246,7617,310
"lowell, massachusetts",14921,23379,16891,9613,5853,232200.0,6222,75608.0,6313,15074,388
"peabody, massachusetts",3687,12894,10392,7246,3923,335700.0,1609,82479.0,1201,2426,65
"fall river, massachusetts",17725,20620,15169,6032,2516,232500.0,5438,61448.0,2153,8861,323
"south amherst, massachusetts",101,226,415,687,769,341300.0,412,108077.0,65,464,52
"chelsea, massachusetts",8381,7904,3858,2441,1659,274100.0,1928,76123.0,12533,1903,96
"casa de oro-mount helix, california",1134,2820,4365,3267,2759,579400.0,978,105224.0,427,818,24
"san diego, california",115610,147066,255411,232401,158136,463300.0,59473,92800.0,111439,92535,3535
"king, california",4227,1690,828,228,112,198900.0,839,55699.0,6731,164,7
"salinas, california",36390,20171,22451,7674,3132,276200.0,6190,71966.0,52524,2862,80
"fairfield, california",9951,16713,25917,12106,4600,279600.0,5585,86915.0,8398,5376,613
"san luis obispo, california",1557,2790,7160,7199,4770,546200.0,1527,94015.0,1750,718,44
"los gatos, california",615,1754,4825,8263,6575,1208900.0,737,162788.0,150,1436,28
"woodland, california",7462,9005,11105,5548,3295,269000.0,2627,78038.0,8098,1915,65
"arcadia, california",3224,6543,9933,13200,7975,870800.0,1896,107889.0,1307,15877,24
"carson, california",12789,13819,20732,11245,4029,351000.0,5959,82053.0,10432,8890,260
"compton, california",22002,14264,14828,2969,1048,243500.0,6466,57394.0,24747,507,1300
"diamond bar, california",3124,5741,10647,13408,6832,562100.0,2431,98845.0,1139,11501,52
"marysville, california",1379,1875,3180,612,366,130200.0,735,50990.0,639,253,50
"oxnard, california",41773,25888,34078,14150,5495,345800.0,9741,81098.0,54412,5860,232
"eastvale, california",4075,6507,10728,7847,4049,429500.0,2896,113074.0,3653,6406,62
"imperial beach, california",3431,3686,6794,1878,979,356500.0,1554,74596.0,3169,925,74
"pacific grove, california",549,1873,3387,3591,2709,689200.0,387,103611.0,165,442,15
"seaside, california",5101,4783,6534,3171,1464,346600.0,1612,68255.0,6219,1480,121
"suisun, california",2327,4332,8481,2882,612,229100.0,1351,78482.0,1184,1699,239
"apple valley, california",6358,13841,17550,4398,3348,179600.0,3753,61366.0,2115,868,484
"barstow, california",2667,4347,4656,944,575,92600.0,1250,62463.0,1535,212,420
"san buenaventura (ventura), california",8191,14714,27571,15292,9477,434900.0,4644,87681.0,8583,1920,23
"san pablo, california",6710,4642,4659,1805,691,196000.0,1674,54692.0,7112,2613,164
"santa clarita, california",12914,22839,43024,26063,12232,395700.0,8492,98541.0,14024,5441,79
"culver, california",2279,3351,7991,8981,6633,632000.0,1678,98101.0,1809,2037,41
"montebello, california",12128,12481,10227,5750,2271,402600.0,2263,67746.0,13643,4493,34
"pico rivera, california",13142,12430,11099,3525,1080,336000.0,3169,66080.0,15898,745,21
"signal hill, california",990,1447,2082,1660,833,380100.0,552,90761.0,797,421,54
"rancho cordova, california",4766,11115,17221,8199,3362,205500.0,4456,71906.0,3226,6290,493
"riverside, california",40582,46999,59147,24749,17082,261400.0,18528,77754.0,35952,8026,612
"temecula, california",5614,13495,26034,13332,6977,335200.0,4495,94871.0,4398,3480,59
"pacifica, california",1598,4642,10063,7541,3830,633600.0,1283,113786.0,892,1862,39
"encinitas, california",2500,4650,11017,15526,11085,755400.0,2223,115914.0,2217,1199,23
"escondido, california",24785,18390,29852,14422,6377,346000.0,5741,77572.0,31669,4235,102
"menifee, california",7788,15681,22570,6111,3278,217900.0,5079,61778.0,5180,1366,75
"dublin, california",2905,4901,8695,12369,7310,632200.0,1191,138355.0,903,5263,10
"emeryville, california",275,628,1729,3362,2921,327700.0,497,88574.0,170,757,37
"costa mesa, california",11755,12605,23701,20348,8463,606900.0,5088,94281.0,12104,3218,38
"orange, california",14422,17556,28049,20372,10752,534300.0,5789,102413.0,16693,5863,56
"alondra park, california",1105,1181,1484,904,325,441800.0,521,93088.0,1211,893,93
"altadena, california",3338,4439,9275,8522,6209,599400.0,2071,101879.0,3141,1646,290
"claremont, california",1553,2421,6037,5667,7190,558400.0,1425,115889.0,953,2043,11
"glendora, california",3405,6526,13405,6998,4236,461900.0,2500,89120.0,1709,2164,38
"huntington park, california",19952,6595,5512,1557,403,298500.0,3539,62719.0,26445,173,13
"lake los angeles, california",1790,2728,2278,295,129,100300.0,658,44317.0,1747,71,101
"hanford, california",6337,8020,12510,4332,1877,174600.0,2899,72297.0,6625,811,152
"windsor, california",2387,3875,6464,3763,1602,407700.0,1154,94744.0,2120,199,9
"highland, california",7844,7668,9859,3222,2799,250800.0,2937,75935.0,6685,2204,367
"ontario, california",29970,27458,30521,10653,3480,268500.0,9203,67115.0,34067,3819,329
"yucca valley, california",2148,4453,6382,1067,729,131700.0,1225,45854.0,458,244,130
"hemet, california",11028,17540,19348,3956,2032,124800.0,5609,39969.0,7294,1433,661
"perris, california",13766,10429,10510,2168,940,178900.0,5301,55557.0,14638,766,527
"waterford, california",1883,1134,1435,237,166,139200.0,887,67159.0,1635,80,22
"san juan capistrano, california",3752,4860,7080,5482,2934,541400.0,1588,86610.0,5935,593,16
"big bear lake, california",431,870,1546,607,312,368200.0,222,61595.0,279,87,34
"good hope, california",2136,1611,935,258,54,160900.0,785,46402.0,1925,20,12
"south dennis, massachusetts",146,889,901,556,330,284000.0,172,53446.0,13,25,18
"revere, massachusetts",6972,15113,9464,5220,2414,313500.0,2590,67890.0,6133,5862,89
"barnstable, massachusetts",1878,8719,10232,7305,5172,349000.0,1695,69294.0,452,1295,86
"westfield, massachusetts",2282,7534,7763,5747,2801,222700.0,1895,81649.0,297,1992,18
"new bedford, massachusetts",18500,20790,15322,6851,3511,206900.0,5097,57452.0,6004,9647,457
"bridgewater, massachusetts",232,1345,944,589,365,270100.0,515,80425.0,91,369,62
"lexington, massachusetts",676,1818,2564,5831,11618,736600.0,973,171684.0,64,2145,14
"bostonia, california",1968,3452,3792,996,235,247200.0,1170,55329.0,1285,698,87
"el cajon, california",12749,18972,20913,8658,3733,345800.0,6682,78237.0,6385,12631,226
"atascadero, california",1510,4145,8408,4226,2101,383800.0,636,85388.0,837,191,30
"victorville, california",14850,19913,26163,4473,3040,143800.0,6531,58892.0,13085,1985,1507
"rancho san diego, california",1118,2758,5559,3841,2133,490500.0,969,94658.0,585,1488,41
"anaheim, california",53281,51454,61248,38932,15468,431400.0,16116,91238.0,62112,23721,313
"fullerton, california",12068,16702,26378,21875,12873,522500.0,6208,95033.0,13538,14764,115
"brea, california",2186,4144,9190,7764,4298,550100.0,1747,110186.0,1475,2454,38
"huntington beach, california",10821,23545,48571,37214,21517,642900.0,7792,105291.0,8333,7899,10
"tustin, california",8483,8727,13826,13057,7279,514500.0,3294,96154.0,9311,5587,58
"ashland, california",3407,4137,4508,1999,522,306000.0,1469,70817.0,4087,2486,291
"richmond, california",16339,15334,21357,11842,6497,296600.0,5762,77492.0,18236,7087,1034
"vine hill, california",696,881,716,293,113,276700.0,271,62167.0,551,119,9
"belmont, california",952,2119,4717,5386,5629,963300.0,898,160185.0,792,1890,10
"menlo park, california",1741,1818,3301,6673,9180,1374600.0,758,176607.0,1749,1393,38
"newman, california",1496,2070,1964,614,88,148700.0,922,57508.0,2100,49,10
